Pin Name,Pin Index,LOC,DRIVE,IOSTANDARD,SLEW,TIG
GCLK,,L15,,LVCMOS33,,
RESET,,T15,,LVCMOS33,,TIG
RS232_Uart_1_sout,,B16,,LVCMOS33,,
RS232_Uart_1_sin,,A16,,LVCMOS33,,
rzq,,,,LVCMOS18_JEDEC,,
zio,,,,LVCMOS18_JEDEC,,
DIP_Switches_8Bits_TRI_I,0,A10,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,1,D14,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,2,C14,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,3,P15,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,4,P12,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,5,R5,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,6,T5,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,7,E4,,LVCMOS18,,
LEDs_8Bits_TRI_O,0,U18,,LVCMOS33,,
LEDs_8Bits_TRI_O,1,M14,,LVCMOS33,,
LEDs_8Bits_TRI_O,2,N14,,LVCMOS33,,
LEDs_8Bits_TRI_O,3,L14,,LVCMOS33,,
LEDs_8Bits_TRI_O,4,M13,,LVCMOS33,,
LEDs_8Bits_TRI_O,5,D4,,LVCMOS33,,
LEDs_8Bits_TRI_O,6,P16,,LVCMOS33,,
LEDs_8Bits_TRI_O,7,N12,,LVCMOS33,,
Push_Buttons_5Bits_TRI_I,0,N4,,LVCMOS18,,
Push_Buttons_5Bits_TRI_I,1,P4,,LVCMOS18,,
Push_Buttons_5Bits_TRI_I,2,P3,,LVCMOS18,,
Push_Buttons_5Bits_TRI_I,3,F6,,LVCMOS18,,
Push_Buttons_5Bits_TRI_I,4,F5,,LVCMOS18,,
Digilent_Usb_Epp_IFCLK_pin,,C10,,LVCMOS33,,
Digilent_Usb_Epp_STMEN_pin,,B2,,LVCMOS33,,
Digilent_Usb_Epp_FLAGA_pin,,B9,,LVCMOS33,,
Digilent_Usb_Epp_FLAGB_pin,,A9,,LVCMOS33,,
Digilent_Usb_Epp_FLAGC_pin,,C15,,LVCMOS33,,
Digilent_Usb_Epp_SLRD_pin,,F13,,LVCMOS33,,
Digilent_Usb_Epp_SLWR_pin,,E13,,LVCMOS33,,
Digilent_Usb_Epp_SLOE_pin,,A15,,LVCMOS33,,
Digilent_Usb_Epp_FIFOADR_pin,0,A14,,LVCMOS33,,
Digilent_Usb_Epp_FIFOADR_pin,1,B14,,LVCMOS33,,
Digilent_Usb_Epp_PKTEND_pin,,C4,,LVCMOS33,,
Digilent_Usb_Epp_EPPRST_pin,,A5,,LVCMOS33,,
Digilent_Usb_Epp_DB,0,A2,,LVCMOS33,,
Digilent_Usb_Epp_DB,1,D6,,LVCMOS33,,
Digilent_Usb_Epp_DB,2,C6,,LVCMOS33,,
Digilent_Usb_Epp_DB,3,B3,,LVCMOS33,,
Digilent_Usb_Epp_DB,4,A3,,LVCMOS33,,
Digilent_Usb_Epp_DB,5,B4,,LVCMOS33,,
Digilent_Usb_Epp_DB,6,A4,,LVCMOS33,,
Digilent_Usb_Epp_DB,7,C5,,LVCMOS33,,
Ethernet_Lite_MDIO,,N17,,LVCMOS33,,
Ethernet_Lite_MDC,,F16,,LVCMOS33,,
Ethernet_Lite_TXD,3,K13,,LVCMOS33,,
Ethernet_Lite_TXD,2,K14,,LVCMOS33,,
Ethernet_Lite_TXD,1,H13,,LVCMOS33,,
Ethernet_Lite_TXD,0,H16,,LVCMOS33,,
Ethernet_Lite_TX_EN,,H15,,LVCMOS33,,
Ethernet_Lite_TX_CLK,,K16,,LVCMOS33,,
Ethernet_Lite_COL,,C17,,LVCMOS33,,
Ethernet_Lite_RXD,3,F15,,LVCMOS33,,
Ethernet_Lite_RXD,2,E16,,LVCMOS33,,
Ethernet_Lite_RXD,1,H14,,LVCMOS33,,
Ethernet_Lite_RXD,0,G16,,LVCMOS33,,
Ethernet_Lite_RX_ER,,F18,,LVCMOS33,,
Ethernet_Lite_RX_CLK,,K15,,LVCMOS33,,
Ethernet_Lite_CRS,,C18,,LVCMOS33,,
Ethernet_Lite_RX_DV,,F17,,LVCMOS33,,
Ethernet_Lite_PHY_RST_N,,G13,,LVCMOS33,,TIG
Ethernet_Lite_MDINT,,L16,,LVCMOS33,,
ETHERNET_MDIO,,N17,,LVCMOS33,,
ETHERNET_MDC,,F16,,LVCMOS33,,
ETHERNET_TX_ER,,G18,,LVCMOS33,,
ETHERNET_TXD,7,K12,,LVCMOS33,,
ETHERNET_TXD,6,H12,,LVCMOS33,,
ETHERNET_TXD,5,G14,,LVCMOS33,,
ETHERNET_TXD,4,J13,,LVCMOS33,,
ETHERNET_TXD,3,K13,,LVCMOS33,,
ETHERNET_TXD,2,K14,,LVCMOS33,,
ETHERNET_TXD,1,H13,,LVCMOS33,,
ETHERNET_TXD,0,H16,,LVCMOS33,,
ETHERNET_TX_EN,,H15,,LVCMOS33,,
ETHERNET_MII_TX_CLK,,K16,,LVCMOS33,,
ETHERNET_TX_CLK,,L12,,LVCMOS33,,
ETHERNET_RXD,7,D17,,LVCMOS33,,
ETHERNET_RXD,6,D18,,LVCMOS33,,
ETHERNET_RXD,5,E18,,LVCMOS33,,
ETHERNET_RXD,4,F14,,LVCMOS33,,
ETHERNET_RXD,3,F15,,LVCMOS33,,
ETHERNET_RXD,2,E16,,LVCMOS33,,
ETHERNET_RXD,1,H14,,LVCMOS33,,
ETHERNET_RXD,0,G16,,LVCMOS33,,
ETHERNET_RX_ER,,F18,,LVCMOS33,,
ETHERNET_RX_CLK,,K15,,LVCMOS33,,
ETHERNET_RX_DV,,F17,,LVCMOS33,,
ETHERNET_PHY_RST_N,,G13,,LVCMOS33,,TIG
QSPI_FLASH_SCLK,,R15,,LVCMOS33,,
QSPI_FLASH_IO0,,T13,,LVCMOS33,,
QSPI_FLASH_IO1,,R13,,LVCMOS33,,
QSPI_FLASH_IO2,,T14,,LVCMOS33,,
QSPI_FLASH_IO3,,V14,,LVCMOS33,,
QSPI_FLASH_SS,,V3,,LVCMOS33,,
Digilent_AC97_Cntlr_BITCLK_pin,,L13,,LVCMOS33,,
Digilent_AC97_Cntlr_SDATA_IN_pin,,T18,,LVCMOS33,,
Digilent_AC97_Cntlr_SDATA_OUT_pin,,N16,,LVCMOS33,,
Digilent_AC97_Cntlr_SYNC_pin,,U17,,LVCMOS33,,
Digilent_AC97_Cntlr_RESET_N_pin,,T17,,LVCMOS33,,
